	Month	Which	Gr	Nutr	Exp/Ref	Method	Ribose-P	OMP	"1,3-diphopshateglycerate"	3-hydroxy-3-methylglutaryl-CoA	3-phosphoglycerate	6-phospho-D-gluconate	acetyl-CoA	aconitate	adenosine	ADP	a-ketoglutarate	alanine	AMP	arginine	asparagine	aspartate	ATP	choline	citrate	citrate/isocitrate	citrulline	CTP	cyclic-AMP	cystathionine	cytidine	cytosine	dATP	dCTP	deoxyadenosine	deoxyguanosine	D-erythrose-4-phosphate	D-gluconate	D-glucono-delta-lactone-6-phosphate	D-glyceraldehdye-3-phosphate	dihydroorotate	dihydroxy-acetone-phosphate	D-sedoheptulose-7-phosphate	dTTP	FAD	FMN	"fructose-1,6-bisphosphate"	fumarate	glutamate	glutamine	glutathione	glutathione disulfide	glycerate	glycine	GMP	GTP	guanine	guanosine	hexose-phosphate	histidine	histidinol	hypoxanthine	inosine	isocitrate	leucine/isoleucine	lysine	malate	methionine	N-acetyl-glucosamine-1-phosphate	N-acetyl-glutamine	NAD+	NADH	NADP+	N-carbamoyl-L-aspartate	nicotinate	ornithine	orotate	pantothenate	phenylalanine	phenylpyruvate	proline	pyridoxine	pyruvate	quinolinate	riboflavin	S-adenosyl-L-methionine	serine	succinate	thiamine	threonine	"trans, trans-farnesyl diphosphate"	trehalose/sucrose	trehalose-6-phosphate	tryptophan	tyrosine	UDP-D-glucose	UDP-N-acetyl-glucosamine	uridine	UTP	valine	xanthine	Arginino-succinate	Carbamyl phosphate	CDP	dGDP	Dimethylglycine	Homoserine	Hydroxyphenylpyruvate	Lactate	N-acetyl-glutamate	Prephenic acid	PRPP
NH4_0.210_pellet_a	6	a	0.21	NH4	exp	pellet	76618.57936	300	4420.743081	300	75176.3491	17035.05431	3299.551815	56443.90192	2507.7907	26247.46003	414894.6688	146214.2506	20099.56597	98961.54514	6540.87321	154195.5368	41149.56236	7293.587126	428915.3285	3831222.801	46279.98408	5345.378282	300	1052.601775	591.7561935	338.7520903	5666.885375	925.8757371	458.7807829	334.7028903	451.0671004	5254.510385	2027.585375	6702.032244	55735.54507	66645.07017	108222.9782	8848.131476	300	300	217851.8626	17390.09354	1815589.931	1293219.734	61502.13217	21316.09519	1152.06053	2493.21241	944.5255496	6248.616197	300	1197.906916	244093.4535	40361.12829	1949.554161	300	300	3449.673957	213916.4931	2291.950367	934098.4954	8443.136032	7618.591988	1188.447493	93888.69176	5326.532265	3101.752049	17169.8631	18120.83469	29694.7989	52750.32914	19084.91121	98550.79572	19433.41426	202435.1635	81255.77257	3879.232222	3673.061286	1443.750968	609.0151288	62810.55592	187543.9092	151412.8001	186287.0732	300	127837.9015	15068.62432	22367.27567	6332.970514	404966.3339	340402.1918	300	41993.22646	78071.18779	300	4679.15299	300	300	2146.449449	8460.460296	1344.283408	434.9168708	15347.15396	10418.63426	300	360.3520861
NH4_0.210_pellet_c	6	c	0.21	NH4	exp	pellet	42437.34118	300	3541.651267	300	23789.83561	10731.28639	2723.328201	53941.46954	1185.701107	17133.79449	232309.7078	67662.33543	21321.62543	83767.56908	4618.074826	83533.30621	23903.40847	1678.092731	166715.7625	1524796.469	38232.46889	3790.72859	302.6137732	955.9943871	300	300	5337.793421	300	497.3405093	300	300	3478.067468	1974.402561	4094.79274	39512.47739	48818.22556	68375.56424	4463.177829	300	300	134803.2516	12305.54267	1053954.514	912018.1713	28399.96293	15547.33796	422.7656518	797.6441135	512.4094615	3448.732729	300	300	172165.4911	21127.98439	1187.599097	300	300	1923.338685	129988.8346	941.6577167	375980.9317	6515.071275	4341.9012	1707.045238	47559.54771	2392.374879	1066.743173	7862.558097	19689.60594	18061.38103	54471.94372	11942.1025	70033.57567	16556.87843	158984.2701	47059.8461	3707.265557	2457.912021	909.9798115	2266.713969	43891.26339	92229.87558	81496.1064	173378.5229	300	123974.1392	11435.56428	15977.1204	4356.389194	177070.5765	171610.9158	300	23821.05488	49578.30404	300	1871.448093	300	300	1062.19652	6642.051753	816.9430801	571.8670163	10366.53397	4407.424588	300	343.7474357
NH4_0.290_filter_b	6	b	0.29	NH4	exp	filter	79859.17904	300	6961.428242	650.6557767	32940.5773	16666.73442	8223.404191	94494.63572	770.1392681	28788.14612	139504.312	256372.1414	7956.167674	261730.7837	4069.560395	187330.1175	119486.8429	572.4979674	76946.9083	610484.6293	251992.4781	26144.58047	387.1045744	3313.267458	958.8803767	1274.06552	10036.78139	2008.847117	376.1359109	300	6634.151488	8306.469728	3925.721965	4829.595616	38397.59114	174059.1207	100085.8406	17660.74597	449.9802458	300	156566.5577	9557.323651	1675478.973	3254811.53	22507.40333	3862.724695	549.4722737	5712.971626	300	28367.14056	300	300	150980.0085	140966.5031	11943.65575	300	300	423.7009598	291267.3207	7268.194912	362406.8616	17265.46754	8300.66883	412.9874458	114541.4244	17668.26702	3613.148351	3351.1186	56729.91763	80277.10453	33442.30786	31958.92912	157715.1799	70889.66509	352125.3998	166168.8197	9703.886	1877.110094	6712.727298	911.5889621	133122.0537	282138.4084	95874.62149	298116.1095	7814.202172	90392.94756	14756.97561	50761.57416	10302.43743	268467.036	287249.4307	300	164652.4982	199098.5283	300	3410.850207	300	1744.782695	7944.648967	11968.82627	2587.863698	2834.144674	28172.53135	6527.691886	300	536.0402551
NH4_0.290_filter_d	6	d	0.29	NH4	exp	filter	64706.32156	300	8204.058888	300	27967.25976	9811.353134	9566.509861	89591.23317	330.6170471	22457.4969	113749.1362	179057.7299	4879.653856	172209.0797	1788.223755	122468.0577	99441.75876	2329.040999	27255.35044	260551.969	168864.7644	22600.15879	1533.986037	4453.990012	300	1343.608776	6902.449741	910.455208	985.4577871	300	3769.597644	7418.666139	3971.15409	3481.151649	62767.55907	131052.1151	84288.5639	12221.08383	300	300	154564.6151	7435.110598	1073320.274	1438572.663	29213.9311	7166.224932	791.4475788	3380.936834	300	24837.66912	300	300	131978.6458	65364.71354	7578.318922	300	512.8366293	300	222608.7462	5137.10749	210169.7281	8410.003017	7119.225378	461.3571439	88386.39641	12241.0313	4817.412883	8574.802107	55809.113	57454.68988	82909.58144	26090.79093	97384.3242	55270.82539	231280.2719	101009.0384	10091.65734	1737.142737	2052.60571	1278.584078	50528.31237	237077.3374	56574.09807	184572.3196	3413.954671	102679.8431	9988.848132	29590.68376	6758.604963	187939.469	211850.9909	300	141200.1779	126096.6336	300	1555.265052	635.4743415	300	11331.01995	6418.99811	806.3668066	1497.88239	19182.2218	3466.413088	300	727.5961854
NH4_0.290_pellet_a	6	a	0.29	NH4	exp	pellet	86952.82867	300	6296.409339	300	27731.40676	7268.528345	1340.739002	113831.9267	629.3158087	10996.5604	103736.3812	199633.4361	8539.513732	142161.568	23195.7511	169385.5572	26029.42623	16110.70514	29785.63082	233884.327	197172.9372	3083.346705	300	1238.56586	1157.075068	1050.142261	10683.32048	300	564.7276071	309.3296271	300	3564.898413	4808.529932	4547.300587	45580.51245	70049.20334	100203.7007	3378.512466	300	432.9197271	234751.7749	13464.17065	1469002.275	2466030.866	34788.94	19599.43355	577.9818132	3613.745466	300	8246.605161	300	300	249654.6738	94183.95697	4646.125232	300	300	300	329269.2776	2427.367576	352587.4108	5586.437561	3555.802516	1779.723291	67016.82258	3244.208995	587.0243553	9528.616921	14118.09296	30124.73445	39898.93605	11041.73959	146688.3498	7609.600508	246708.8199	26283.58861	4966.144013	2835.269782	555.0367692	300	83059.22424	207480.3728	213361.7051	240103.2895	300	26926.33976	9994.946503	43221.04321	9608.23075	154588.0757	105715.7235	300	23701.76766	126813.0996	300	7522.509658	300	944.8056447	698.2119579	11501.99296	1276.90296	300	23489.90029	9207.713129	300	300
NH4_0.290_pellet_c	6	c	0.29	NH4	exp	pellet	88856.64489	300	10643.59345	300	30974.15279	5883.660353	1735.514592	110902.9143	971.4650176	9843.624932	131332.6241	187829.8794	4334.644679	173586.2562	27442.66421	132520.8471	24323.04859	2174.099946	23621.64285	185864.6621	263957.1547	1725.862764	300	1628.583192	1437.434019	1160.350847	8174.008874	300	300	713.7700861	414.0658755	6683.006634	3877.385137	6404.582989	32392.95761	66795.34163	105627.6419	1288.247052	300	300	228454.9719	14212.60001	1493181.634	2859931.361	33040.861	2538.570124	1147.577867	3148.872989	300	6453.947689	300	300	234824.9383	78661.71189	3679.744037	300	303.9796561	300	277399.445	5393.79235	259202.4123	13331.69909	5407.156747	2667.659532	45142.55242	2251.235852	300	4523.572553	23466.55573	43615.07505	25254.02532	18463.97469	158664.0557	7531.107371	250864.645	51731.99526	3382.239279	1048.499333	694.0658218	300	88187.59766	223900.6784	218668.4553	247722.108	300	56439.85745	15084.17669	44865.05963	7811.472576	130717.585	92394.03268	300	24629.04974	152675.1405	300	1347.862451	420.8655289	300	2416.328178	11927.45318	671.7139192	659.3561921	15120.14588	4760.472829	300	300
R_PO4_0.053_filter_b	6	b	0.053	R	ref	filter	3079.116732	300	743.528436	1210.196612	1236.211989	300	5671.558167	6295.006317	80800.28704	33286.73625	210164.3089	148230.5332	19019.60405	247018.3356	21195.30585	66742.44511	40953.33852	26014.0611	667447.5247	6680740.86	20327.69517	7482.462828	1641.118422	13858.66446	53044.15462	12612.4426	2551.577989	334.8625321	2129.393044	3964.772433	3123.215936	8269.170204	383.7727373	856.5917532	7256.928871	21848.18828	6300.022226	3855.575419	1692.461917	318.5656095	2532.746477	2652.601052	1142153.047	4033253.136	77811.29032	23485.29101	2082.697387	906.5466769	781.1195565	11372.03828	5840.693081	57187.88081	24200.33812	81389.37613	1696.338372	1809.187744	327897.8719	9905.123629	243352.6826	9130.797769	429926.6577	16443.00165	476.0712819	6059.176011	34942.47242	3446.741204	1511.920844	412.9892165	21878.60033	43951.41969	13099.17955	23618.92361	183407.9973	59596.54876	290055.3708	29916.24594	4956.752195	6454.242624	16369.69541	2518.549525	122943.2516	164094.4753	77718.4028	161711.4695	729.2696059	129151.6633	6842.811941	36984.89863	20401.41829	84346.91559	46660.10165	2157.940915	23404.89296	73209.48699	2156.633472	2433.904613	300	711.3172414	3136.30253	10506.90069	1557.324175	351.7403851	9306.296376	25293.7829	300	300
R_PO4_0.053_filter_d	6	d	0.053	R	ref	filter	2394.748167	300	862.7252177	1197.379185	560.2164188	572.3356624	5622.943355	96394.08323	57703.65984	25529.50479	200624.4848	96808.62177	20428.82365	248748.0231	11860.91475	65725.35984	37121.17216	31779.61749	686079.5925	6237806.989	11951.07177	5444.190763	1559.803209	12216.25609	37773.71332	9165.769032	1512.022963	388.4063577	2282.802131	3905.838636	3148.200097	7509.668145	451.8005093	877.956043	6568.019328	17441.13533	4728.194042	3075.142459	1229.047446	472.7671824	1838.301989	1056.189701	1062127.083	2526496.864	89153.1222	31814.72894	2281.015354	672.7578113	1560.074301	9042.744387	4019.26287	44296.06435	21314.1297	41625.23732	1914.618554	1362.963776	290021.1133	9549.353597	245028.7131	9147.619145	362434.5206	16285.83845	470.5361644	5807.996785	40612.4944	4283.031264	2141.534839	979.3046414	19298.05633	40953.55763	11364.11325	25084.53671	168591.2859	54884.1636	205942.2155	22501.86912	4574.265303	6807.913919	9925.812925	1849.429639	48324.30696	162997.6198	59240.84059	112598.5635	1195.500134	139996.8246	6330.294441	32798.64051	14282.14571	70057.00887	34516.13533	2064.022554	21140.43039	57987.58823	1760.473064	2770.008418	300	300	3338.579469	11543.09336	979.9321876	327.7552762	8065.216522	21824.45046	300	300
R_PO4_0.053_pellet_a	6	a	0.053	R	ref	pellet	4431.668138	300	1343.163881	300	6603.953693	604.7032419	2826.749265	79409.56268	29561.72239	9859.877832	178104.2423	104249.1446	11686.15136	273477.9097	29559.00402	72583.2257	11965.03215	35681.39185	744714.3156	6751222.531	21761.89551	702.3370994	300	15106.96215	53144.40031	11374.04799	1958.912133	300	1148.91558	2478.652107	1766.47781	5979.559654	421.6014216	1321.235461	4246.329889	11517.22023	14451.18751	1552.729237	955.1481547	300	2671.740245	5632.069402	1732630.726	3855668.436	123611.4525	34821.62986	3547.397106	808.0730078	899.3614341	1883.428807	3806.639898	45466.11674	48300.34044	97129.91156	1769.238554	1395.869466	224044.7451	12974.62438	261123.5801	11860.90259	379854.3412	17487.18903	639.6301101	9388.750983	34628.49453	488.016082	300	2515.262563	14005.50439	52730.34654	8927.048598	21149.61811	186192.074	11048.33584	258482.0996	16553.51017	2840.701425	7576.135866	3876.248436	2374.201292	77954.54056	139392.976	131413.5708	143557.8474	300	95941.12257	12119.85568	42510.84948	11438.96284	75013.46749	69100.75799	2861.538804	5693.931676	78485.98408	882.3108363	1640.234716	300	300	339.2570093	13544.22428	845.9699972	300	5786.231832	49705.29272	300	300
R_PO4_0.053_pellet_c	6	c	0.053	R	ref	pellet	4395.336383	300	854.7507855	300	2408.204569	833.8767056	1569.033831	8324.456615	38656.0245	7437.839162	246384.4914	130448.1116	6309.528302	322759.5787	35383.5843	72637.43888	8552.546061	28775.03201	672403.0961	6238120.67	18456.75883	881.9158285	300	13424.39406	46931.19908	11116.33023	1573.806075	300	2121.300928	3309.804269	894.8497464	5718.127872	300	836.6250039	3374.485213	9942.16495	11770.49781	1043.977637	387.4760278	300	3142.928378	1379.22301	1428965.084	4311684.916	114659.3604	30790.59227	3715.175317	976.0407117	418.6765384	1845.190612	5220.782596	39000.74997	39635.03113	101931.4857	1051.595496	2323.438727	314522.4511	12580.45439	273250.2095	10636.07371	415094.2854	15918.66307	694.095167	6262.164659	23311.41069	300	393.9456989	1314.051157	21983.36825	51667.89892	8482.090536	21610.15916	184146.1883	21865.32858	257950.7158	26464.00576	4783.743417	7600.016369	6716.603106	2008.138362	106851.9931	161765.9771	98280.91832	135197.8497	300	118555.0628	9905.993218	39012.04318	15798.13526	51645.53364	34426.58432	3259.828593	4787.14902	73806.20492	1921.992933	1684.147545	300	300	723.1135279	11197.58115	573.9670899	300	7473.705011	47378.73894	300	300
