	Month	Which	Gr	Nutr	Exp/Ref	Method	Ribose-P	OMP	"1,3-diphopshateglycerate"	3-hydroxy-3-methylglutaryl-CoA	3-phosphoglycerate	6-phospho-D-gluconate	acetyl-CoA	aconitate	adenosine	ADP	a-ketoglutarate	alanine	AMP	arginine	asparagine	aspartate	ATP	choline	citrate	citrate/isocitrate	citrulline	CTP	cyclic-AMP	cystathionine	cytidine	cytosine	dATP	dCTP	deoxyadenosine	deoxyguanosine	D-erythrose-4-phosphate	D-gluconate	D-glucono-delta-lactone-6-phosphate	D-glyceraldehdye-3-phosphate	dihydroorotate	dihydroxy-acetone-phosphate	D-sedoheptulose-7-phosphate	dTTP	FAD	FMN	"fructose-1,6-bisphosphate"	fumarate	glutamate	glutamine	glutathione	glutathione disulfide	glycerate	glycine	GMP	GTP	guanine	guanosine	hexose-phosphate	histidine	histidinol	hypoxanthine	inosine	isocitrate	leucine/isoleucine	lysine	malate	methionine	N-acetyl-glucosamine-1-phosphate	N-acetyl-glutamine	NAD+	NADH	NADP+	N-carbamoyl-L-aspartate	nicotinate	ornithine	orotate	pantothenate	phenylalanine	phenylpyruvate	proline	pyridoxine	pyruvate	quinolinate	riboflavin	S-adenosyl-L-methionine	serine	succinate	thiamine	threonine	"trans, trans-farnesyl diphosphate"	trehalose/sucrose	trehalose-6-phosphate	tryptophan	tyrosine	UDP-D-glucose	UDP-N-acetyl-glucosamine	uridine	UTP	valine	xanthine	Arginino-succinate	Carbamyl phosphate	CDP	dGDP	Dimethylglycine	Homoserine	Hydroxyphenylpyruvate	Lactate	N-acetyl-glutamate	Prephenic acid	PRPP
R_PO4_0.057_filter_b	6	b	0.057	R	ref	filter	2171.059852	300	1115.758549	891.5609047	531.5125079	397.7882037	5793.902137	6373.203126	52249.26946	23874.81154	189508.8596	129741.7297	15304.03748	215798.7884	22625.85732	67769.64774	39689.02618	17264.59122	677375.8774	6019060.526	21717.07579	5618.266	1596.626448	10587.57367	53944.10637	12591.41722	2117.438194	300	1273.090108	3777.452885	2441.704701	5797.018232	776.4432674	942.2228253	10183.52111	17180.45196	5974.585563	2762.931219	1867.338225	372.8418579	1824.399693	1219.245099	1177407.346	4159190.789	106195.6415	28417.41571	1661.526436	715.0083953	1995.343039	9946.558732	5210.836845	46807.26014	22354.98081	75555.83195	2567.816569	2047.243439	343281.6557	7212.094211	235905.8553	8395.062363	316177.5823	14826.35211	534.0458489	5975.511237	33692.43489	4694.272632	1330.069687	2188.047411	19045.0514	41628.66845	14214.11047	21435.73122	157528.1195	50442.71998	206956.1787	31837.13473	3580.716403	6759.916995	11715.66715	2234.148613	87094.20779	123641.1869	78842.53563	92345.61132	300	93488.95832	7089.767337	34510.43586	15832.01652	69064.40516	36958.22094	2002.504112	22104.26535	58122.48358	2201.887828	3375.777824	300	582.5187121	2661.942374	7838.302153	934.0221953	391.7221109	8970.390284	32345.65584	300	300
R_PO4_0.057_filter_d	6	d	0.057	R	ref	filter	2049.882118	300	824.4848126	1309.875831	500.0985075	499.6163672	4678.157552	76011.85784	37064.78139	17377.94185	194882.8838	86624.70395	9346.300026	170753.8596	9687.551742	55774.56416	38008.42037	18930.95258	630530.3726	5790368.247	10924.53982	7187.462137	1020.021555	9280.154195	38417.74397	8458.2977	4470.632881	793.2400458	1794.125419	2435.419622	1282.92352	4672.654794	300	604.1041537	6249.038174	14391.75918	8241.702647	3319.711101	1858.688536	300	2327.728422	621.5400132	819118.2016	1969965.351	73210.87584	22581.30894	1604.273317	339.3937777	363.01759	14017.25706	3894.194079	37147.98177	24860.70929	35875.14117	1996.569953	1475.543913	332197.3465	6763.770289	204666.7818	3465.550558	349699.2434	12373.74366	346.1667432	3558.855537	37370.05551	3412.502227	427.7278132	611.3717705	20463.46765	22635.62363	12918.28639	21013.03934	119363.6157	33952.32593	154562.2478	20572.45237	4351.625206	10584.40978	7572.161632	1066.665848	29897.89337	104900.0165	49816.86678	82998.01263	300	110972.1738	6832.228105	23935.69285	10718.61499	70072.13611	39137.07579	2169.884911	27232.99685	51051.47615	1927.418234	1375.509997	300	300	1932.380243	7696.456789	849.9814753	315.2407365	8517.723753	29408.54715	300	300
R_PO4_0.057_pellet_a	6	a	0.057	R	ref	pellet	4399.969479	300	1033.008003	300	3271.844921	300	1225.974247	58232.79309	28855.0659	5330.883114	171610.9087	146636.139	7856.379127	200179.7134	25614.21573	68122.29801	8153.39063	21899.22307	606029.5812	5473283.702	15089.20278	627.8238934	300	12618.80575	38400.3338	7811.924674	1782.94082	300	1349.43987	1905.198082	1035.811912	4282.026484	300	1008.775225	3661.176245	9799.55758	12881.3	444.6844112	300	300	2811.561475	2900.837452	1299653.315	3276793.002	101108.1204	20459.60556	2739.352861	757.5126072	404.2925306	2106.409658	3001.37627	27523.11306	39580.12488	69290.04232	1410.616588	1961.072159	282320.0736	8633.201508	224787.6957	8400.777293	308153.1941	12674.3691	662.0900077	6943.000945	18493.15939	300	300	1662.223083	12752.33476	42867.44072	10631.07537	19315.1369	140960.995	12592.6837	192433.8052	15855.51587	2432.956602	5876.267326	2895.595352	833.4434409	59526.34525	115685.2872	98993.68094	97664.10856	300	67941.76597	7875.420298	25338.07191	13997.16167	39900.89635	34749.90864	1998.039996	2997.488139	62100.68055	1244.033055	1419.285244	300	300	544.3209331	6879.399028	432.9689587	300	6857.092039	55715.24083	300	300
R_PO4_0.057_pellet_c	6	c	0.057	R	ref	pellet	4324.419525	300	1208.140381	300	3584.017025	406.7550785	3574.362042	10015.72194	43301.12367	12148.02601	155528.735	99229.62133	5378.116277	275416.8163	29873.70655	44768.99531	13332.43501	17526.95744	666397.3525	6069160.591	17018.84964	1587.456208	304.2066652	11043.56512	48426.91644	14165.93361	2689.485407	300	1540.045604	1938.250991	1472.648787	5305.914228	390.6583162	948.1188807	4049.027394	9053.95463	9624.980039	1301.514307	300	300	2485.772514	1852.74026	960963.7431	3316963.72	72879.27746	18758.56138	3051.730835	615.0046785	811.5883	2954.041404	4537.782358	44056.10325	45022.11383	80466.84221	2095.259445	1373.134702	301584.2311	8664.460227	225502.4402	8744.576751	262461.7749	12709.56132	300	4330.394204	25440.71852	364.479668	412.6025923	561.8219475	14027.06139	37789.95094	8615.777867	16961.79249	147680.4184	13758.97754	171870.7815	19012.7971	3082.443231	9224.800011	6565.280414	2202.101857	77756.66293	69876.43591	112688.8007	111160.8627	300	114845.5959	9076.689293	34943.5903	13589.14739	55561.66552	39886.16627	2594.361251	8495.38174	54886.7245	1900.113677	1840.478381	300	392.0431122	1065.630171	7560.256425	1364.825046	300	7412.511867	18930.20006	300	300
URA_0.056_filter_b	6	b	0.056	URA	exp	filter	17005.7566	115131.7616	2192.789411	2600.84113	1879.476366	5742.217083	16694.96586	12793.36268	4348.905656	37738.20647	62721.87676	359125.7953	25027.44141	327168.4474	9204.65627	39652.54786	111792.5218	39688.60677	31726.53919	280594.123	16863.59445	6367.305391	1483.242908	2185.510254	631.3721255	300	2635.213106	300	519.2702955	300	2285.769956	3244.524817	1060.389765	3248.00371	2552873.029	41684.04508	26575.80016	3332.875845	3595.077817	1459.799167	48684.36356	868.5051216	459431.3907	537515.062	37588.10793	21897.38968	448.0117937	1267.381617	870.3090155	21294.88316	349.9395635	2393.673514	44485.84776	66522.86036	3924.490934	1131.392796	8254.115858	659.0790002	165417.3705	9768.151743	183002.2452	3667.564983	7108.593203	1536.31743	76468.61804	13036.62285	3080.91997	877419.9324	11048.16741	195951.8511	5211455.968	14454.18074	76141.88662	116624.6727	340318.56	35067.41009	11856.54583	2685.167577	6285.916055	2636.406591	19217.97886	380954.2864	156058.3157	154053.3009	329.3901313	276697.0299	16798.79866	30775.46717	15957.64842	65123.70407	33995.21089	300	12251.51917	74854.41122	300	1146.942097	688.7869723	300	8159.429108	16590.34831	716.8706946	1545.040041	15521.77207	2950.462822	300	1133.878155
URA_0.056_filter_d	6	d	0.056	URA	exp	filter	11329.36356	100050.867	1302.461431	2263.000357	1143.20343	7594.116557	20104.43429	12893.24451	3680.964123	45373.20871	38476.56064	173344.7656	11852.28027	150116.5476	6526.128162	33111.26302	124268.8393	37291.33184	16250.24646	148939.5275	12103.02967	5902.792155	2593.317029	1725.808912	399.868175	300	1806.068115	300	905.7115214	300	6431.962541	3867.011079	887.5056829	2539.819946	2491045.179	30997.83296	16574.44429	4388.883231	2327.856096	1062.911805	30518.484	1120.541458	455283.9732	403449.6875	58816.55227	10754.47079	491.8261429	300	498.3298312	21998.80952	300	1372.164626	35222.73159	23961.76711	3517.244931	300	3133.446161	677.3976436	106422.2396	2952.579288	158105.8036	1133.665373	3839.873163	460.4372079	99885.439	3505.312732	3055.806507	387656.6071	14541.17839	35397.08426	4922537.976	9145.643836	29157.77949	67599.24944	147970.2864	20643.34403	9189.274086	6083.285784	2772.33102	847.5128707	6487.860863	350707.6711	95767.24143	88366.85457	1769.234517	388423.6161	5865.753232	16005.27669	4436.008708	102188.7565	44278.01665	300	14429.02344	31414.10249	300	1131.712298	300	300	11194.60566	12938.64723	657.9482379	925.8282157	11959.69982	1739.986659	300	530.3485543
URA_0.056_pellet_a	6	a	0.056	URA	exp	pellet	27779.43389	73813.35475	2405.311794	356.1917442	12967.34603	2950.810679	1564.595313	20877.92515	3845.078895	3372.256226	35877.93423	439475.7752	3181.380713	236595.4053	16476.16481	54374.98385	10660.58826	66691.50719	10015.9967	91075.62783	38047.70773	300	300	3203.010058	346.0847894	324.1775514	2508.56205	300	300	300	1567.40833	2291.268535	1175.126045	3584.120703	2936163.308	22383.75525	51705.58785	349.4387295	300	300	23906.16572	1730.668495	843449.3543	662027.8101	82968.15651	20582.29722	751.5748804	943.7685318	300	2870.077065	304.6935215	1374.322234	112448.6898	68471.47327	2894.384009	1700.583351	14628.40005	632.7464636	198355.6565	6876.578524	153571.8387	3257.503633	8666.714357	1680.577288	34166.1852	309.8640486	300	909327.0992	6548.293034	173415.8269	4110640.568	12631.32671	99510.4914	13295.02685	420321.5036	15139.23258	8365.952287	1392.934612	778.2793302	532.5263891	25501.88953	226017.2279	293275.1857	164737.1245	300	227200	22052.73942	31219.39196	20605.30422	28468.74117	27193.64402	300	969.5256705	85572.85209	300	1278.507234	300	300	590.7483674	24246.50658	619.8252752	366.5074481	8265.853116	8074.876101	300	300
URA_0.056_pellet_c	6	c	0.056	URA	exp	pellet	19588.54603	60071.41841	3241.67266	521.0454659	3623.023403	1878.752479	5195.605974	20258.4706	1729.452664	6183.548959	17045.1722	262246.9153	3627.355736	149828.666	15160.81562	26659.27053	21062.47931	41432.87811	2956.830512	30353.23603	12435.13102	582.2507401	543.2030225	1142.862791	337.1066576	300	3988.618253	300	300	300	2498.644736	3125.173296	1391.462774	2382.898801	2631640.762	17617.01339	25872.47457	1191.603611	745.4973719	376.8005411	14503.88127	2010.32666	325716.2467	671152.8262	43092.1764	12599.84708	386.0830419	592.5541684	300	2937.733857	300	1333.298053	61728.59536	35884.61574	2431.525684	300	2156.036519	300	123950.1978	3297.301426	73763.05919	1854.249908	3773.870771	413.2591281	48522.93988	753.9528801	646.6616925	749055.4909	8776.89862	24806.97876	3481601.938	5232.963905	40462.27794	6405.663305	211570.8374	10194.94484	7896.570674	3375.12882	386.0825308	498.4150682	20424.87837	181630.8664	195197.0769	158363.0572	300	234134.4436	8969.965907	18433.22129	4365.960615	46935.85574	26425.7111	300	2111.834859	46757.92454	300	668.3684752	300	300	1708.068533	21234.46433	1550.103334	300	6857.349074	3137.64516	300	300
URA_0.110_filter_b	6	b	0.11	URA	exp	filter	24162.96677	108878.4605	2012.777657	1259.48537	790.0777785	9730.674911	16883.69261	16523.23496	3639.849176	38451.49402	26393.44907	221285.1543	30634.21489	251384.6528	11447.2907	77825.46489	100840.3106	4028.024933	10812.65842	92467.2917	31590.10706	6184.021629	1776.189176	2419.328944	645.5544644	308.6182644	2619.096981	300	300	300	2456.912314	2876.900198	633.7806704	4634.56754	2736361.79	58722.63889	28503.84356	2521.440294	1705.898784	1202.885878	49507.30903	1017.385359	661125.5093	806932.423	52781.69078	12365.98114	436.0441687	597.4957652	1394.688525	20846.19454	300	1553.517072	49956.20949	38919.13098	4434.856741	300	8250.569541	300	112644.5293	2798.865017	220908.3256	6526.142458	3267.476068	1111.861911	77154.11074	11866.73321	5354.831995	957568.117	17991.68981	81146.83067	5173418.765	14116.88609	53448.31211	43153.07678	115715.4707	41878.7471	9159.928385	4306.788918	4825.170476	3156.176095	25837.34279	220204.9614	167231.061	165139.4444	300	254030.652	10332.06308	18270.16252	6331.795067	74744.46763	31232.1547	300	14867.71171	36743.76061	300	2768.941213	300	569.616121	6477.437006	12563.89684	1522.053825	300	15610.951	3308.203607	300	1003.015717
URA_0.110_filter_d	6	d	0.11	URA	exp	filter	16260.79495	101073.7121	1965.726991	2222.128076	1911.704283	9131.412549	17568.75327	13803.78646	1496.93521	36231.03809	25658.03292	153713.9433	15951.80803	191314.3178	4468.333525	62095.67163	109201.5897	4588.536986	6667.674719	62585.07795	8802.65119	7159.406379	1490.505961	1885.746602	300	344.2871209	3361.47913	300	300	300	4299.583737	3607.153374	555.5599629	3924.965001	2176131.808	44278.11393	26310.78814	3507.009602	1398.660976	2164.091622	53560.58347	960.3115987	355018.4437	363992.7764	36381.84402	10392.55515	315.1754309	300	422.7666335	26520.00953	300	712.0830928	49655.21174	24402.73182	4309.928918	300	3296.825746	358.7042229	98324.97275	1191.519518	200667.4973	4543.455861	2753.092395	513.3730105	62789.01314	5631.228352	4441.507097	388721.1193	15523.42856	46777.67906	4295542.92	13022.82986	41601.95227	33060.00222	75587.0149	27605.96405	8909.800516	5208.281527	2200.96526	915.6714876	9801.87398	213267.5654	107751.1812	94720.05379	1384.203623	234511.3154	9354.754732	12023.64728	4335.214014	61937.84552	20214.89098	300	14588.08508	36934.78094	300	1336.977039	490.6205852	300	9276.473353	10915.39288	584.6671976	400.3170031	13697.84007	1257.572295	300	1226.032552
URA_0.110_pellet_a	6	a	0.11	URA	exp	pellet	24506.45458	67747.7255	1966.922702	300	8187.973885	3782.397586	1915.283788	21216.05268	1368.092918	3707.928435	15176.57552	254893.3734	4198.929412	184836.5305	13806.35517	80245.43669	11060.14098	7140.917718	3880.527094	32893.34785	18765.94752	300	300	1883.913918	450.7654425	330.8276633	2256.006016	300	310.7789008	300	533.9711077	2525.201009	1621.837095	3872.212915	2680052.564	18010.26242	38158.9393	300	300	300	18750.93349	2055.741734	590743.4135	656073.4936	47912.82552	8194.348208	300	677.9209472	300	2955.361798	300	410.9378246	78521.94508	41907.46395	2946.83769	300	2888.660482	300	114711.3502	2012.988625	160362.0873	4632.002955	2238.782302	956.1127023	32795.4998	300	300	875543.8785	10792.11188	34150.88242	3683635.641	9017.140423	46784.93289	4778.560322	99167.71638	20138.90975	5364.060122	4375.584811	441.5087541	322.37088	21102.19652	129673.4495	225304.8157	139458.4896	300	124557.4519	12848.00782	12395.32452	4258.052635	33070.65255	20816.8725	300	1242.845068	37274.9379	300	925.2890562	300	300	485.7580098	11602.20202	1120.347686	300	8690.821315	3198.241999	300	300
URA_0.110_pellet_c	6	c	0.11	URA	exp	pellet	35018.25214	101328.7092	3158.746432	504.7356552	4306.485064	5890.391877	6086.348282	17467.72361	4578.132825	14224.55253	17376.76783	262164.2068	9960.378608	340474.7917	15559.86128	106190.2364	21922.24309	6662.005083	5071.583408	38317.1239	22477.36879	762.4196452	592.6608172	3868.749249	612.5274287	614.9927556	2764.541141	300	300	300	1380.406557	4803.377842	1231.834607	6592.802609	2585925.833	35323.87921	53781.91907	748.2472502	380.5935602	786.3704269	46937.45693	1575.02683	753095.1602	853507.9008	67349.84375	14491.90205	449.2995492	582.2236185	300	3183.298152	300	1382.834535	125563.8502	43653.77905	4398.545422	300	5163.899615	300	180253.7861	1942.757662	225578.2692	8400.746946	3464.125976	646.3210238	53887.28365	300	363.1343625	1034146.667	13727.96825	53382.59615	4155834.487	15003.69291	82115.10415	7695.067362	136078.6578	24172.78545	7941.332631	4336.434295	1344.313925	747.9648364	25824.38252	197295.016	366554.5433	213227.4679	300	184704.8678	14993.80534	27444.86078	7126.513797	53439.58033	31759.71154	300	4311.030586	52871.3732	300	2396.065267	300	453.3371315	1709.905286	16578.22816	1635.088548	300	10661.37895	3803.550869	300	300
URA_0.150_filter_b	6	b	0.15	URA	exp	filter	28871.74242	152705.8721	2564.963943	2024.308198	2619.558505	11766.71128	26822.5137	19083.47336	2719.900197	53086.05199	27122.22803	270747.2162	23742.95359	460685.1472	9957.584216	121934.7522	136232.2894	2051.589966	11613.35478	98255.25328	17327.86347	10228.99885	2749.050483	2505.511124	509.512067	300	3869.04332	1419.710322	1147.191103	374.5876373	2609.996577	4935.474755	796.7016112	6116.396568	2771192.816	77128.84564	39881.70012	7412.844603	2608.213192	2175.086291	74563.53718	1448.414256	721784.5007	953306.6276	59541.93158	11734.7732	363.7460773	534.301477	937.7160431	29084.02759	300	773.7673704	80911.48303	57626.21116	3457.013711	300	1770.968032	422.3765253	123603.9781	4607.741503	348688.4878	8388.40304	3893.61446	1027.025209	87021.50457	13027.98581	6510.870712	1072048.815	17683.39283	72789.38128	5438724.713	18069.1019	55834.80603	37488.42773	128945.5146	59875.3345	10227.97908	4701.685483	5335.058734	2338.814431	27063.84586	270815.9303	227056.9684	192845.0791	411.7067273	131523.2826	12490.20042	18650.99397	5374.238954	94075.86207	35915.33792	300	26083.49048	42835.73882	300	3877.391877	629.1791224	1012.342284	9692.908974	14054.14674	1162.263804	300	16100.21972	4144.290828	300	2380.894417
URA_0.150_filter_d	6	d	0.15	URA	exp	filter	28044.6873	149866.3381	2657.786718	2650.436307	1791.733739	12855.09181	22185.2353	16887.02403	1668.292476	46565.58561	23040.96037	143850.3282	24172.54738	232456.6395	4745.564984	84663.65983	125730.5082	2753.382476	7851.682861	68538.38629	9011.820513	9626.226857	2590.570598	1266.699441	1088.393863	300	4278.90837	709.7814908	319.0739339	300	4044.330056	3663.167592	1667.578048	6088.509935	2847090.126	80342.91404	38946.35088	5992.323179	3356.640556	2150.289515	72038.74738	974.6514832	517608.3683	412930.4271	43501.43339	10305.63753	603.840214	300	1605.992148	27558.36616	300	506.0739809	83979.66999	22564.68345	3132.998375	300	3238.912323	300	88933.90672	1502.045515	274727.8799	4571.586682	3437.246764	300	83779.28922	12120.15439	3830.76801	698347.654	22730.10439	29949.42391	5058242.437	17723.72855	31163.19864	22127.18537	68764.39732	21758.66378	8143.741246	6741.046399	1343.018518	1166.227021	11647.74925	223246.5905	118240.4543	103897.5731	948.4035286	134230.1296	14002.87061	10968.23628	2185.648292	100086.4234	46379.01895	300	26375.3381	32068.53992	300	2566.825939	455.4431518	300	9565.963378	10040.62582	530.3276939	300	13438.70607	1153.313406	300	1771.2176
URA_0.150_pellet_a	6	a	0.15	URA	exp	pellet	36971.08932	101935.0052	2376.951336	300	18109.5031	5792.253235	4455.226574	25524.50218	2169.939256	5088.333024	17327.46498	243225.9429	3803.132717	256597.6203	15825.14565	110050.577	20857.42412	3922.006472	3070.242906	33209.63261	13376.69467	472.3736118	300	2615.140227	592.6071253	300	2762.61993	300	327.9737161	522.8159192	1421.18404	1713.989889	2014.519001	4524.662553	2554401.437	35696.04548	46910.57157	2139.168365	300	300	35521.60672	6004.216407	693655.2442	772702.0474	46271.45968	9102.437897	300	969.7154603	300	3109.723041	300	1017.398194	122805.6797	60149.02344	2050.113862	300	1233.150368	300	127922.0726	2927.979989	220254.2341	5360.956021	3062.984703	445.6086925	52780.05343	1772.006918	578.6213911	941161.6922	11697.41127	31945.62735	3151613.506	12250.90135	46445.30913	3592.069008	91861.76362	13975.05669	5363.274515	2795.167634	596.952123	764.0905739	27077.79162	191377.4335	297271.7134	172167.5332	300	65140.10978	16187.58222	15550.25059	4712.342361	57126.07085	40426.9621	300	3543.517716	39852.75683	300	2550.98642	300	300	1350.084274	11294.81833	1638.734138	300	7682.630236	3673.714193	300	300
URA_0.150_pellet_c	6	c	0.15	URA	exp	pellet	46081.31838	141802.1547	3075.977264	573.4546399	17694.76669	10728.28116	7159.161587	21123.9168	1344.672731	11913.48358	14788.27901	247517.9957	2816.221145	406907.9831	18739.16184	98252.67603	27327.61652	3109.868753	3821.622791	33793.37341	16199.09416	1905.697035	300	3199.747722	488.3493816	306.5771299	4125.481336	300	573.4216362	444.6327233	1210.941692	5158.777978	2016.748187	5773.213284	2547366.595	39282.03798	64225.03928	1668.732772	580.7240828	537.2141302	71789.24434	3734.020291	496362.3204	918678.0534	37288.9278	14318.54291	705.4616379	390.2206026	300	3561.081809	300	1042.317947	143395.528	50899.17385	4319.974422	300	2362.883891	300	162503.6323	3191.495207	245142.3536	9289.405983	3918.055041	441.9680877	64863.41258	1420.876378	2400.701904	943398.5095	14127.45853	43848.23658	3765528.304	15294.12295	56169.93534	3554.470089	114195.0678	18818.98656	6308.518263	7615.427162	1313.207644	1387.0643	27849.3209	162007.2243	422373.7967	207436.1485	300	117506.6294	26351.99634	19126.68485	4566.779897	71171.15773	49924.54764	300	6585.345248	47852.90948	300	2257.323342	300	300	2412.34885	15733.32015	1363.659738	300	9238.303276	2812.474147	300	300
URA_0.220_filter_b	6	b	0.22	URA	exp	filter	47540.20071	228397.7298	3408.019362	2153.591785	5838.604633	24779.93016	24348.20471	20816.78274	1654.318484	47037.23037	33371.26802	207131.8287	18864.11774	450591.4668	9378.652409	146716.2405	209414.7412	1316.430911	31079.38434	281130.5713	63912.14752	21921.89769	2521.827159	4693.974412	348.2922387	300	5265.089782	1179.546328	494.4339586	411.7280101	5933.751742	3894.728124	999.9723697	7273.133352	2537446.633	131666.8456	76189.64515	14252.54367	2951.762621	2529.314507	123589.8647	2123.941708	952732.0917	1647585.606	53390.7894	8981.609882	647.8529162	857.8187064	1003.449843	62140.03445	300	1474.429188	111685.4193	84002.68571	6041.683765	300	841.0377064	514.962226	138272.1801	6889.220821	510419.8654	11523.34148	5359.326994	626.0559169	97305.9054	14556.31675	9193.107179	625893.6869	23932.40346	119515.4988	4867106.229	23801.73611	66794.09722	22715.8601	168438.1523	70026.89657	9717.926827	3205.339693	3669.661499	1906.409863	56630.80019	310215.3462	236453.3565	197391.1774	2113.531309	52730.02289	12413.58211	21639.4768	5069.945713	133518.1779	61090.22747	300	70709.2369	47552.32008	300	6252.120817	389.9341357	806.1156199	15358.32314	11386.90782	1857.588519	300	18470.32335	8939.537793	300	6157.962519
URA_0.220_filter_d	6	d	0.22	URA	exp	filter	43592.66173	187518.7092	3212.555689	2040.016757	4000.902862	21658.34163	24387.10619	21186.82311	818.429314	40548.06283	23731.46414	126701.5676	11135.16519	363982.9044	5773.982508	72674.26343	159192.9356	1505.15743	13620.79664	124084.2652	25752.71906	14574.49735	1745.884072	1499.834069	387.7588905	302.3095088	3486.620296	1208.511781	334.3527026	300	3422.466841	5147.362803	1459.503812	5862.428673	2315223.243	104890.9977	73887.35192	9934.582922	2867.267624	1789.888213	112290.3544	2613.126328	441556.8831	675769.567	32143.05364	4789.020773	300	359.4361748	394.0516732	43444.12659	300	542.632352	114786.752	36959.59968	6402.782405	300	1409.464708	300	129047.0103	2453.668373	446463.7051	9257.485703	4027.713312	1607.987001	58225.57827	13232.80708	4508.889352	327173.5396	20843.28215	72248.15155	4215968.627	20060.77921	47800.8387	17242.04517	110862.5766	44612.51787	9215.59149	3469.324129	1552.878485	1268.820382	20962.10937	238750.817	162942.4071	116819.9091	3042.744994	39326.21975	10702.70518	15448.56994	2682.755973	120540.0735	69483.84524	300	46537.25107	35126.67483	300	3597.877891	652.3880105	341.0534627	10802.17812	8550.396689	857.8986925	300	14216.74294	3474.483316	300	2573.742037
URA_0.220_pellet_a	6	a	0.22	URA	exp	pellet	62578.34896	112972.8399	4496.808699	300	27558.31648	8129.437711	1091.985584	34281.8344	915.8625761	4060.411735	23375.5216	193791.8566	5140.499292	227910.6251	23573.31419	120950.7935	8569.828622	5600.328298	7492.345282	60607.99479	49897.09406	300	300	817.1964627	398.4954079	300	5622.792012	300	300	300	736.4346373	2283.904886	2230.599964	6438.455308	1946002.892	42700.92372	69857.39276	807.3597208	300	300	56477.73438	7132.746439	937591.7156	1243018.48	32520.98115	8732.652612	509.0983133	916.0571051	300	2780.749033	300	527.6506341	151234.1513	63348.37009	1436.216946	300	664.8872106	300	156017.114	2836.432794	370650.9927	5667.306986	4604.379882	1607.193532	27888.26211	1136.416866	300	582993.1495	14504.9954	35526.27987	2573451.52	11988.44918	64801.02175	2284.954666	118525.0552	11988.00992	6631.734068	739.5771694	300	300	47891.42922	265419.8591	293366.4276	180731.3419	300	14105.00574	9020.080232	16064.36313	4387.233839	37333.87945	20350.83066	300	1745.384306	43318.56771	300	2247.633846	300	300	300	10450.32112	1320.282084	300	9310.179994	7047.438918	300	300
URA_0.220_pellet_c	6	c	0.22	URA	exp	pellet	65447.63212	140787.9554	3154.339145	300	28826.61075	12291.0792	1117.3836	31299.84528	944.3992988	4700.837833	23858.47349	182287.0711	3054.825033	339861.348	21663.74234	135396.3266	12109.23426	748.4165271	4648.442669	41610.99648	49694.30913	439.3923294	300	1260.216639	698.2125451	300	5273.800839	300	339.6942655	320.4675467	300	3745.02834	1470.023744	6566.142578	2016961.176	46268.99204	101364.1483	413.9283161	300	300	85540.91912	7118.609642	827405.7844	1503064.902	28310.30407	9511.219938	455.9539138	634.0585059	317.3047474	3047.180128	300	639.6448079	175955.7689	53273.63971	2912.19942	300	1969.154268	300	176871.8566	3414.529527	318141.0294	8100.782016	6058.991268	890.4268788	35653.89553	458.3474839	382.6792333	360243.6152	12710.58671	45161.26532	3067298.432	11092.5314	65160.74295	1925.9999	139001.7525	24208.79213	6288.248698	1626.786571	462.2787844	300	51846.08379	204888.462	350602.6041	225674.5159	300	23656.43919	13308.42161	19896.94853	4052.18166	49094.36811	25953.39116	300	2982.175795	42435.93367	300	2111.847402	300	300	631.1615498	10891.0208	1947.966882	300	7644.662415	3826.887447	300	300
URA_0.310_filter_b	6	b	0.31	URA	exp	filter	60239.26365	163266.1109	3974.470576	300	2280.187613	20138.13476	12243.57955	31671.61097	1125.593314	28914.05392	42384.41479	234993.7861	8389.533601	155105.2119	13053.68381	148126.9821	115379.8466	406.1558944	32540.02189	296837.0443	640070.7176	21596.4021	1368.488425	2526.718168	300	635.2884944	5699.832832	847.6676038	929.4968847	687.5871625	1618.619029	4818.981086	1851.080308	4382.804249	396547.7069	165382.4833	99408.57567	5983.968325	1930.206824	312.6025694	121682.4544	525.358126	1266020.11	2791373.032	27477.6114	4308.747694	757.8358379	3254.17311	722.2919018	33568.38289	300	300	119765.2018	78179.03826	8939.653863	300	372.8809413	439.9453649	198279.5247	4407.40899	317121.6001	12909.82056	4490.267606	1552.356297	92977.50651	17398.1	5247.213011	51965.46314	27213.51183	124892.7481	1943261.979	19622.88774	83071.69415	20249.7475	289703.2479	90500.29478	8498.804389	1705.947593	4129.10631	714.1029032	79294.29435	267588.831	115389.945	221469.8496	2181.107797	26351.34639	5230.234329	26947.16797	3998.098642	155411.0099	67889.36993	300	109578.9189	113339.9306	300	3958.819778	300	988.1316551	9207.947003	9272.341806	1194.755229	300	15855.45564	28243.28568	300	2413.438967
